"city","datetime","pollutant","forecast_value"
"X1345A","20.5","PM2.5",43.5237922176122
"X1345A","20.5416666666667","PM2.5",43.5380056261605
"X1345A","20.5833333333333","PM2.5",43.0966739931593
"X1345A","20.625","PM2.5",43.0896639920799
"X1345A","20.6666666666667","PM2.5",42.968669293851
"X1345A","20.7083333333333","PM2.5",43.5532861880779
"X1345A","20.75","PM2.5",44.1179292219396
"X1345A","20.7916666666667","PM2.5",44.2760793175627
"X1345A","20.8333333333333","PM2.5",44.5491329157751
"X1345A","20.875","PM2.5",44.4597629178463
"X1345A","20.9166666666667","PM2.5",44.4701797158016
"X1345A","20.9583333333333","PM2.5",44.3976741167697
"X1345A","21","PM2.5",43.9915643787494
"X1345A","21.0416666666667","PM2.5",44.2572602534273
"X1345A","21.0833333333333","PM2.5",44.1122744040891
"X1345A","21.125","PM2.5",43.8793827309036
"X1345A","21.1666666666667","PM2.5",43.9853171021
"X1345A","21.2083333333333","PM2.5",44.0919521274208
"X1345A","21.25","PM2.5",44.1164752772938
"X1345A","21.2916666666667","PM2.5",44.1164752772938
"X1345A","21.3333333333333","PM2.5",44.1164752772938
"X1345A","21.375","PM2.5",44.1164752772938
"X1345A","21.4166666666667","PM2.5",44.1164752772938
"X1345A","21.4583333333333","PM2.5",44.1164752772938
"X1345A","21.5","PM2.5",44.1164752772938
"X1345A","21.5416666666667","PM2.5",44.1164752772938
"X1345A","21.5833333333333","PM2.5",44.1164752772938
"X1345A","21.625","PM2.5",44.1164752772938
"X1345A","21.6666666666667","PM2.5",44.1164752772938
"X1345A","21.7083333333333","PM2.5",44.1164752772938
"X1345A","21.75","PM2.5",44.1164752772938
"X1345A","21.7916666666667","PM2.5",44.1164752772938
"X1345A","21.8333333333333","PM2.5",44.1164752772938
"X1345A","21.875","PM2.5",44.1164752772938
"X1345A","21.9166666666667","PM2.5",44.1164752772938
"X1345A","21.9583333333333","PM2.5",44.1164752772938
"X1345A","22","PM2.5",44.1164752772938
"X1345A","22.0416666666667","PM2.5",44.1164752772938
"X1345A","22.0833333333333","PM2.5",44.1164752772938
"X1345A","22.125","PM2.5",44.1164752772938
"X1345A","22.1666666666667","PM2.5",44.1164752772938
